bus	device	latitude	longitude	updated
2	arduino	22.360844		2018-05-20T14:48:01.426Z
2	arduino	22.360853		2018-05-20T14:48:04.761Z
2	arduino	22.360861		2018-05-20T14:48:09.545Z
2	arduino	22.360867		2018-05-20T14:48:14.541Z
2	arduino	22.360865		2018-05-20T14:48:19.523Z
2	arduino	22.360861		2018-05-20T14:48:24.527Z
2	arduino	22.360859		2018-05-20T14:48:29.544Z
2	arduino	22.360855		2018-05-20T14:48:35.886Z
2	arduino	22.360851		2018-05-20T14:48:40.866Z
2	arduino	22.360847		2018-05-20T14:48:44.462Z
2	arduino	22.360846		2018-05-20T14:48:51.005Z
2	arduino	22.360842		2018-05-20T14:48:54.963Z
2	arduino	22.360838		2018-05-20T14:48:59.845Z
2	arduino	22.360838		2018-05-20T14:49:04.706Z
2	arduino	22.360836		2018-05-20T14:49:10.323Z
2	arduino	22.360834		2018-05-20T14:49:14.584Z
2	arduino	22.36083		2018-05-20T14:49:20.205Z
2	arduino	22.36083		2018-05-20T14:49:25.227Z
2	arduino	22.36083		2018-05-20T14:49:29.984Z
2	arduino	22.360821		2018-05-20T14:49:36.466Z
2	arduino	22.360817		2018-05-20T14:49:39.524Z
2	arduino	22.360811		2018-05-20T14:49:44.484Z
2	arduino	22.360807		2018-05-20T14:49:50.364Z
2	arduino	22.360811		2018-05-20T14:49:54.763Z
2	arduino	22.360815		2018-05-20T14:49:59.523Z
2	arduino	22.360809		2018-05-20T14:50:05.705Z
2	arduino	22.360798		2018-05-20T14:50:10.346Z
2	arduino	22.360792		2018-05-20T14:50:14.487Z
2	arduino	22.360788		2018-05-20T14:50:19.588Z
2	arduino	22.360783		2018-05-20T14:50:25.446Z
2	arduino	22.360783		2018-05-20T14:50:29.789Z
2	arduino	22.3608		2018-05-20T14:50:34.527Z
2	arduino	22.360819		2018-05-20T14:50:39.467Z
2	arduino	22.360817		2018-05-20T14:50:44.789Z
2	arduino	22.360819		2018-05-20T14:50:49.825Z
2	arduino	22.360813		2018-05-20T14:50:55.488Z
2	arduino	22.360811		2018-05-20T14:50:59.505Z
2	arduino	22.360809		2018-05-20T14:51:04.448Z
2	arduino	22.360807		2018-05-20T14:51:09.788Z
2	arduino	22.360804		2018-05-20T14:51:14.788Z
2	arduino	22.360804		2018-05-20T14:51:20.051Z
2	arduino	22.360806		2018-05-20T14:51:24.908Z
2	arduino	22.360815		2018-05-20T14:51:29.950Z
2	arduino	22.360823		2018-05-20T15:18:18.867Z
2	arduino	22.360819		2018-05-20T15:18:22.986Z
2	arduino	22.360819		2018-05-20T15:18:27.586Z
2	arduino	22.360825		2018-05-20T15:18:32.806Z
2	arduino	22.360823		2018-05-20T15:18:37.828Z
2	arduino	22.360823		2018-05-20T15:18:43.127Z
2	arduino	22.360825		2018-05-20T15:18:47.945Z
2	arduino	22.360828		2018-05-20T15:18:53.727Z
2	arduino	22.36083		2018-05-20T15:18:57.793Z
2	arduino	22.360832		2018-05-20T15:19:02.987Z
2	arduino	22.360834		2018-05-20T15:19:07.567Z
2	arduino	22.360836		2018-05-20T15:19:13.108Z
2	arduino	22.360836		2018-05-20T15:19:18.405Z
2	arduino	22.360836		2018-05-20T15:19:22.547Z
2	arduino	22.360834		2018-05-20T15:19:28.230Z
2	arduino	22.360867		2018-05-20T15:27:08.639Z
2	arduino	22.360855		2018-05-20T15:27:13.794Z
2	arduino	22.360849		2018-05-20T15:27:18.571Z
2	arduino	22.360846		2018-05-20T15:27:23.957Z
2	arduino	22.360846		2018-05-20T15:27:28.654Z
2	arduino	22.360847		2018-05-20T15:27:33.736Z
2	arduino	22.360863		2018-05-20T15:32:51.266Z
2	arduino	22.36087		2018-05-20T15:32:55.844Z
2	arduino	22.360876		2018-05-20T15:33:00.823Z
2	arduino	22.360878		2018-05-20T15:33:07.843Z
2	arduino	22.360882		2018-05-20T15:33:10.865Z
2	arduino	22.360878		2018-05-20T15:33:15.863Z
2	arduino	22.360874		2018-05-20T15:33:22.387Z
2	arduino	22.36088		2018-05-20T15:33:25.864Z
2	arduino	22.360882		2018-05-20T15:33:30.847Z
2	arduino	22.360882		2018-05-20T15:33:36.824Z
2	arduino	22.360874		2018-05-20T15:33:40.585Z
2	arduino	22.360872		2018-05-20T15:33:45.624Z
2	arduino	22.360868		2018-05-20T15:33:50.825Z
2	arduino	22.360865		2018-05-20T15:33:55.864Z
2	arduino	22.360859		2018-05-20T15:34:00.664Z
2	arduino	22.360855		2018-05-20T15:34:06.004Z
2	arduino	22.360855		2018-05-20T15:34:10.886Z
2	arduino	22.360853		2018-05-20T15:34:15.663Z
2	arduino	22.360851		2018-05-20T15:34:20.588Z
2	arduino	22.360849		2018-05-20T15:34:25.606Z
2	arduino	22.360846		2018-05-20T15:34:30.629Z
2	arduino	22.360846		2018-05-20T15:34:35.767Z
2	arduino	22.360853		2018-05-20T15:34:40.689Z
2	arduino	22.360851		2018-05-20T15:34:45.626Z
2	arduino	22.360849		2018-05-20T15:34:50.587Z
2	arduino	22.360849		2018-05-20T15:34:55.587Z
2	arduino	22.360857		2018-05-20T15:35:00.606Z
2	arduino	22.360863		2018-05-20T15:35:05.626Z
2	arduino	22.36088		2018-05-20T15:35:10.687Z
2	arduino	22.360891		2018-05-20T15:35:15.807Z
2	arduino	22.360897		2018-05-20T15:35:20.669Z
2	arduino	22.360905		2018-05-20T15:35:25.629Z
2	arduino	22.36091		2018-05-20T15:35:30.671Z
2	arduino	22.360918		2018-05-20T15:35:35.927Z
2	arduino	22.360922		2018-05-20T15:35:40.607Z
2	arduino	22.360924		2018-05-20T15:35:45.947Z
2	arduino	22.360924		2018-05-20T15:35:50.649Z
2	arduino	22.360922		2018-05-20T15:35:55.747Z
2	arduino	22.360922		2018-05-20T15:36:00.607Z
2	arduino	22.360918		2018-05-20T15:36:05.629Z
