routeNumber,isGo2Work,last_stop_name,next_stop_name,seqNumber,next_stop_seq,last_stop_latitude,last_stop_longitude,next_stop_latitude,next_stop_longitude,plannedArrivalTime,segment
7,True,华侨宾馆,公交新村,3,4,22.230832541599998,113.5519298765,22.2683607418,113.54942258879998,7:40,华侨宾馆-公交新村
7,True,公交新村,新村,4,5,22.2683607418,113.54942258879998,22.2708602619,113.5546260743,7:42,公交新村-新村
7,True,新村,银桦新村,5,6,22.2708602619,113.5546260743,22.271472678200002,113.5599106937,7:44,新村-银桦新村
7,True,银桦新村,紫荆园,6,7,22.271472678200002,113.5599106937,22.2832322702,113.5656076689,7:49,银桦新村-紫荆园
7,True,紫荆园,鸡山,7,8,22.2832322702,113.5656076689,22.3346958699,113.59513916659999,8:02,紫荆园-鸡山
7,True,鸡山,南方软件园,8,9,22.3346958699,113.59513916659999,22.372630798200003,113.5759242192,8:30,鸡山-南方软件园
8,False,南方软件园,海怡湾畔,1,2,22.372630798200003,113.5759242192,22.3681709144,113.5923731359,18:00,南方软件园-海怡湾畔
8,False,海怡湾畔,金桦花园,2,3,22.3681709144,113.5923731359,22.2748107258,113.5438211742,18:00,海怡湾畔-金桦花园
8,False,金桦花园,招商花园城,3,4,22.2748107258,113.5438211742,22.2585620265,113.5256667172,18:00,金桦花园-招商花园城
8,False,招商花园城,海纳石鸣苑,4,5,22.2585620265,113.5256667172,22.253585957,113.5254791599,18:00,招商花园城-海纳石鸣苑
8,False,海纳石鸣苑,造贝时代廊桥,5,6,22.253585957,113.5254791599,22.239998436300002,113.5167463833,18:00,海纳石鸣苑-造贝时代廊桥
8,False,造贝时代廊桥,福石,6,7,22.239998436300002,113.5167463833,22.239076,113.50888799999998,18:00,造贝时代廊桥-福石
8,False,福石,中臣花园,7,8,22.239076,113.50888799999998,22.237540343600003,113.5059648324,18:00,福石-中臣花园
8,True,中臣花园,福石,1,2,22.2370257098,113.5052123982,22.239126077399998,113.5092357117,7:18,中臣花园-福石
8,True,福石,造贝时代廊桥,2,3,22.239126077399998,113.5092357117,22.241295927600003,113.5121056753,7:20,福石-造贝时代廊桥
8,True,造贝时代廊桥,海纳石鸣苑,3,4,22.241295927600003,113.5121056753,22.252175112600003,113.5253386577,7:24,造贝时代廊桥-海纳石鸣苑
8,True,海纳石鸣苑,招商花园城,4,5,22.252175112600003,113.5253386577,22.2555360202,113.52571499700001,7:25,海纳石鸣苑-招商花园城
